date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:30:31	604043/604043	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Apr%202018%2010:50:27%20GMT	http://cms.staah.net/sun_n_sand_beta/images/fb/pool5.jpg	C:/My%20Web%20Sites/A1/cms.staah.net/sun_n_sand_beta/images/fb/pool5.jpg	(from http://www.sunnsandhotel.com/planawedding.htm)
15:30:53	278674/278674	---M--	200	added ('OK')	image/jpeg	etag:%2244092-5918f4a7ed16f%22	http://www.sunnsandhotel.com/images/f1b0d85ff921c2ac212c257e80023220.jpg	C:/My%20Web%20Sites/A1/www.sunnsandhotel.com/images/f1b0d85ff921c2ac212c257e80023220.jpg	(from http://www.sunnsandhotel.com/planawedding.htm)
15:31:28	455355/455355	---M--	200	added ('OK')	application/octet-stream	etag:%22e4751f466a06f6c81f0a6310a1e373c7%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_promoandcan.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_promoandcan.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:31:53	362558/362558	---M--	200	added ('OK')	image/jpeg	etag:%2292276d0df80c0c2f40278169dda1efd4%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_christmasandprmo.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_christmasandprmo.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:32:07	733893/733893	---M--	200	added ('OK')	application/octet-stream	etag:%2261467c31fd236d2500dd93c2a31aeed1%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_pn_wd_bnr.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_pn_wd_bnr.jpg	(from http://www.sunnsandhotel.com/planawedding.htm)
15:32:24	380734/380734	---M--	200	added ('OK')	image/jpeg	etag:%22ddfb95bbc4e2f71da1aaaf4017927ed5%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_sunandnandsandandoffer2.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_sunandnandsandandoffer2.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:32:36	199270/199270	---M--	200	added ('OK')	image/jpeg	etag:%226030a15021e954ae8d782793dc5f1c00%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_internationalandteaandday.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_internationalandteaandday.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:33:06	433785/433785	---M--	200	added ('OK')	image/jpeg	etag:%2277f3c09ffbefea85a61735f371dcc34c%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_sunandnsandandmumbaiandoffer1.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_sunandnsandandmumbaiandoffer1.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:33:15	348615/348615	---M--	200	added ('OK')	image/jpeg	etag:%2227b4232ca070f21ae5a2663615c90869%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_weddingbellsandpromotionalpage.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_weddingbellsandpromotionalpage.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:34:10	352313/352313	---M--	200	added ('OK')	image/jpeg	etag:%22acb7dfe2825a31bd9faa0286c8317c69%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_singatureandfavouritesandsunnandsand.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_singatureandfavouritesandsunnandsand.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:34:18	432749/432749	---M--	200	added ('OK')	image/jpeg	etag:%2281c5cee63bafe2676e7a3a563c5a7a8a%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_weddingsunnsandmain1.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_weddingsunnsandmain1.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:34:35	111956/111956	---M--	200	added ('OK')	image/jpeg	etag:%22c710f57e485331d93dcfcedfa9f98b54%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_mainandofferandleadingandpast.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_mainandofferandleadingandpast.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:34:45	886137/886137	---M--	200	added ('OK')	image/jpeg	etag:%229cd544ec15bfc1d19278ae7267fb39af%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_SNSandcalendar.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_SNSandcalendar.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:34:57	161947/161947	---M--	200	added ('OK')	image/jpeg	etag:%2270368d38bcb8b06a87f842c66fc320a4%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_mainandofferandleadingandpast2.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_mainandofferandleadingandpast2.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
15:35:15	442783/442783	---M--	200	added ('OK')	image/jpeg	etag:%22bf10516a3813119215abc014f453ec40%22	https://dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_sunnsandmorningburst.jpg	C:/My%20Web%20Sites/A1/dec1osz9a7g7e.cloudfront.net/Sun_n_Sand_beta_Sun_n_Sand_beta_sunnsandmorningburst.jpg	(from http://www.sunnsandhotel.com/promotions.htm)
